C_molar,ln_C,neg2loglik_relative
2.371373705662e-08,-17.557211334,0.000000000
2.511886431510e-08,-17.499646707,0.000000000
2.660725059799e-08,-17.442082079,0.000000000
2.818382931264e-08,-17.384517452,0.000000000
2.985382618918e-08,-17.326952825,0.000000000
3.162277660168e-08,-17.269388197,0.000000000
3.349654391578e-08,-17.211823570,0.000000000
3.548133892336e-08,-17.154258943,0.000000000
3.758374042884e-08,-17.096694315,0.000000000
3.981071705535e-08,-17.039129688,0.000000000
4.216965034286e-08,-16.981565061,0.000000000
4.466835921510e-08,-16.924000434,0.000000000
4.731512589615e-08,-16.866435806,0.000000000
5.011872336273e-08,-16.808871179,0.000000000
5.308844442310e-08,-16.751306552,0.000000000
5.623413251903e-08,-16.693741924,0.000000000
5.956621435290e-08,-16.636177297,0.000000000
6.309573444802e-08,-16.578612670,0.000000000
6.683439175686e-08,-16.521048042,0.000000000
7.079457843841e-08,-16.463483415,0.000000000
7.498942093325e-08,-16.405918788,0.000000000
7.943282347243e-08,-16.348354160,0.000000000
8.413951416452e-08,-16.290789533,0.000000000
8.912509381337e-08,-16.233224906,0.000000000
9.440608762859e-08,-16.175660278,0.000000000
1.000000000000e-07,-16.118095651,0.000000000
